SN,Village,Gender,R_2_HH,HH_Size,Age,Ethnicity,Decisions,P_Decisions,Education,Experience,Owning_Livestock,Livestock_No,Livestock_value,Fodder_Exp,Veterinary_Exp,Enclosure_Exp,Hired_Lbr_Exp,Revenue,Land_Own,Land_Size,Land_Use,Cattle,Sheep,Chicken,Pigs,Dairy_Cattle,Dairy_Cattle_No,Grazing_location,Transport2Grazing,Travel_Time,Aquire_Grazig,Grazing_land_source,Grazing_land_purchase_cost,Rent_previous_season,Rented_years,LeasedGrazingExternal,Land_rent_income,Estmtd_rental_income,LandMoistureLevel,Land_fertility,GrazingWaterSource,irrigation_sources,Vet_distance_avg,Distance_to_village,OwnRadio,OwnTelevision,OwnPhone,OwnTransport,Men_labour_days,Men_labour_hours_per_day,Men_labour_workers_avg,men_labour_wage_per_day,Women_labour_days,Women_labour_hours_per_day,Women_labour_workers_avg,Women_labour_wage_per_day,Men_family_labour_days,Men_family_labour_hours_per_day,Men_family_labour_workers,Women_family_labour_days,Women_family_labour_hours_per_da,Women_family_labour_workers,Child_labour_days,Child_labour_hours_per_day,Child_labour_workers_avg,Herd_size,Rope_Qty,Feeds_Qty,Herd_Size_Exp,Rope_Exp,Cattle_feeds_exp,concentratesQty,Dairy_drugs_Qty,Improved_Breed_No,Dairy_Concrete_Exp,Dairy_Drug_Exp,Improved_breed_Exp,Hired_Labour_Exp,Production_Tools_Exp,Technology_Adoption,Cowshed_Type,Breeding_Type,Vet_Treatment_Adoption,Cleaning_activities,Vaccination_Adoption,Feed_Technology,Improved_herd_mngmt_desire,Herd_Mngmnt_Type,Information_Access,Information_Source,Extension_Participation,Extension_Type,Attitude_towards_technology,Technology_Ease_of_Use,Dairy_Technologies_Usefullness,Technology_Perceived_Cost,Leading_Companies_Favour,Important_People_Favour,Contractor_Favour,Intention_To_Adopt,Information_seeking_frequency,Decision_making_ability,Gvt_Ext_Office,Contractor,Input_Suplier,Farmer_Orgnztn,NGO,Agri_Agent_Cmnction,Info_Received,Adherence_to_advice,Land_use_advice,Planting_advice,Seed_use_advice,Fertilizer_advice,Other_advice,Extension_Exp,Milk_per_day,Milk_Days,Sold_Milk,Milk_Price,Milk_Buyer,Quality_Determiner,Home_Milk,Manure_Obtained,Sold_Manure,Manure_Price,milkproductivity,Total_Milk,Food_Exp,Meals_Per_Day,Hungry_Season_Duration,Food_Insecurity_Status,ContractFarming,YearsInContractFarming,Input_access,Market_access,Credit_access,Extension_services,Contract_Type,Copy_of_Contract,Contract_Formulation,AcresUnderContractFarming,Milk_Sale_Price,Amount_Produced,Livestock_Keeping_Area,Quality_of_Milk,Date_of_Milking,Inputs_to_be_Used,Contractor_Compliance,Contractor_Non_Compliance,Respondent_Compliance,Farmer_Non_compliance,Negotiations,Mediation,Reconciliation,Arbitration,Participation_Criteria,Private_companies,International_organizations,Local_Government_Authority,Individuals,contractors,Financial_Institution,Institution_Roles,Continue_Contract_Farming,Pay_For_Contract_Farming,Willing_To_Pay_Amount,Farmers_group,Group_size,Group_Experience,Market_System,Milk_Sale,Off_Farm_Work,Off_Farm_Work_Days,Employed_By,Received_Payment,Reason_4_Pay,Duration_4_Pay,Payment,Cultivate_Crop,Crop_Land,Maize,Beans,Sun_Flower,Crop_Production_Costs,Maize_Harvest,Beans_Haverst,Sun_Flower_Harvest,Maize_Consumption,Beans_Consumption,Sun_Flower_Consumption,Maize_Commercial,Beans_Commercial,Sun_Flower_Commercial,Maize_Revenue,Beans_Revenue,Sun_Flower_Revenue,Business_Operation,Business_Duration,Business_Type,Busiess_Cost,Business_Revenue,Availability_Dry_Fodder,Availability_Green_Fodder,Availability_Concentrates,Availability_Grazing_Land,Availability_Hired_labour,Availability_Vet_Treatment,Availability_AI,Availability_Vaccination,Availability_Rental_Land,Availability_Purchase_Land,Availability_Production_Tools,Liquidity_Dry_Fodder,Liquidity_Green_Fodder,LIquidity_Concentrates,Liquidity_Grazing_Land,Liquidity_Hired_labour,Liquidity_Vet_Treatment,Liquidity_AI,Liquidity_Vaccination,Liquidity_Rental_Land,Liquidity_Purchase_Land,Liquidity_Production_Tools,Risk_Tolerance,New_Breed_Adoption,Breed_Type,veterinary,milk_produced,Total_Milk_w,edu,lnage,lnexperience,Veterinary_Exp_w,Cattle_feeds_exp_w,lncatfeed_exp,lnVeterinary_Exp,extension1,extension,Distance_to_Town,Dairy_Cattle_No_w,AI,Vet_services,both,Hiredlbr_new,Vaccination_Adoption_01,HH_Size_w,Dairy_Concrete_Exp_w,production_tools,hiredlbr,Gender_1,Gender_2,Education_1,Education_2,Education_3,Education_4,OwnTelevision_1,OwnTelevision_2,AI_1,AI_2,Risk_Tolerance_1,Risk_Tolerance_2,Risk_Tolerance_3,extension_1,extension_2,Farmers_group_1,Farmers_group_2,ContractFarming_1,ContractFarming_2,Liquidity_Vet_Treatment_1,Liquidity_Vet_Treatment_2,Liquidity_Vet_Treatment_3,Liquidity_Vaccination1,Liquidity_Vaccination2,lnqtyfeeds,lnqtyconcrete,Land_fertility_1,Land_fertility_2,Decision_making_ability_1,Decision_making_ability_2,Decision_making_ability_3,Off_Farm_Work_1,Off_Farm_Work_2,Business_Operation_1,Business_Operation_2,vet_services,Information_seeking_frequency1,Information_seeking_frequency2,Information_seeking_frequency3,Liquidity_Vet_Treatment1,Liquidity_Vet_Treatment2,Liquidity_Vet_Treatment3,both1,both2,both3,Feeds_Qty_01,lnfeed,lnfeed1,Fodder_Exp_01,lnfodder,vetexp,vetvisits,Adherence,ATT,ATU
1,samanga,Female,Spouse,2,22,Chagga,HH & HM,Yes,Primary school,54,Yes,2,800000,480000,50000,,,410000,Yes,2,Animal keeping,Yes,No,No,,Yes,1,Within the village,By foot,2,Owned it already,,,,,,,,About the same,More fertile,No,,,21,Yes,Yes,Yes,Yes,,,,,,,,,,,,30,3,1,,,,3,3,864,,6000,396000,12,,1,0,50000,0,,No,No,Improved,Artificial insemination,Yes,Regular cleaning,No,Recomended,No,keep cattle health,No,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,,Never,Medium,No,No,No,No,No,,,,,,,,,,3,30,540,1200,Neighbour,Buyer,540,60,No,,1080,1080,1900000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Market,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Risk averse,Strongly disagree,Improved Breed,1,0,1080,Primary education,4.356709,3.9889841,50000,396000,12.88917,10.819778,No,No,38,1,Yes,No,either,0,No,2,0,No,No,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,6.7615728,2.4849067,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,864,6.7615728,6.7615728,480000,13.081541,50000,5,Strongly agree,3852.0344,1989.162
2,samanga,Female,Head,4,68,Chagga,HH,Yes,Primary school,49,Yes,2,1200000,60000,20000,,360000,240000,Yes,1,Animal keeping,Yes,Yes,Yes,,Yes,1,Within the village,By foot,2,Owned it already,,,,,,,,About the same,More fertile,No,,,21,Yes,Yes,Yes,No,30,4,1,1000,,,,,,,,30,3,1,,,,2,1,840,,8000,420000,4,,1,10000,20000,0,360000,No,No,Recomended,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,No,keep cattle health,No,,No,,Wise,Not much work,Improve profitability,Yes,,,,,Less Frequent,Medium,No,No,No,No,No,Several times per week,,,,,,,,,8,30,2160,1200,Neighbour,Buyer,720,96,No,,2920,2920,1040000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,Private buyers,No,,,,,,,Yes,.75,Yes,Yes,Yes,500000,5,.6,,Yes,Yes,Yes,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Risk averse,Disagree,Improved Breed,1,0,2920,Primary education,4.2195077,3.8918202,20000,420000,12.94801,9.9034872,No,No,38,3,Yes,Yes,both,360000,Yes,4,10000,No,Yes,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,6.7334018,1.3862944,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,840,6.7334018,6.7334018,60000,11.0021,20000,2,Neutral,2873.2932,3525.1184
3,samanga,Male,Head,4,78,Haya,HH & HM,Yes,Primary school,9,Yes,1,900000,0,5000,,600000,,Yes,3,Animal keeping,Yes,,,Yes,Yes,1,Within the village,By foot,,Owned it already,,,,,,,,Less wet,More fertile,No,,,22,Yes,No,Yes,No,30,3,1,1700,,,,,,,,,,,,,,1,1,80,,5000,360000,11,,1,22000,0,0,600000,No,No,Recomended,Artificial insemination,No,Irregular cleaning,Yes,Recomended,No,keep cattle health,Yes,Family,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,No,,Would adopt,Less Frequent,Medium,No,No,No,,,,,,,,,,,,,,,,,,,36,No,,0,0,480000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,Risk seeking,Strongly agree,Local Breed,1,0,0,Secondary & above education,3.0910425,2.1972246,45000,360000,12.793859,10.714417,No,No,38,3,Yes,No,either,600000,Yes,4,22000,No,Yes,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,4.3820267,2.3978953,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,20,2.9957323,2.9957323,0,,5000,1,Disagree,,
4,samanga,Female,Head,4,58,Pare,HH & HM,Yes,Primary school,28,Yes,3,2600000,0,70000,,,,Yes,1,Animal keeping,Yes,Yes,Yes,No,Yes,2,Within the village,By foot,0,Owned it already,,,,,,,,Less wet,More fertile,No,,,22.5,Yes,Yes,Yes,No,,,,,,,,,,,,30,3,1,,,,3,3,200,,4500,425000,10,,3,84000,50000,0,,No,No,,Natural,No,Regular cleaning,Yes,Traditional,No,,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Not likely to adopt,Never,Medium,No,No,No,No,No,Several times per week,,,,,,,,,2,30,,,,,720,243,No,,3360,6720,1042000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,1.5,Yes,Yes,Yes,700000,4,1,1,Yes,Yes,Yes,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk averse,Disagree,Improved Breed,1,0,720,Secondary & above education,4.0604429,3.3322046,70000,425000,12.959845,11.156251,No,No,38,2,No,No,either,0,Yes,4,84000,No,No,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,5.2983174,2.3025851,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,200,5.2983174,5.2983174,350000,12.765689,35000,4,Strongly agree,3008.897,1810.3187
5,samanga,Female,Spouse,3,50,Chagga,HH & HM,Yes,Primary school,20,Yes,2,1300000,0,50000,,,876000,Yes,3,Animal keeping,Yes,Yes,0,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,More fertile,No,,,,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,2,2,560,0,10000,240000,12,,0,0,0,0,,No,No,Improved,Artificial insemination,Yes,Regular cleaning,No,Traditional,No,,No,,No,,Wise,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,5,30,730,1200,Neighbour,Buyer,183,180,No,,913,913,1570000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,.5,Yes,Yes,,300000,5,1,,Yes,Yes,,,,,,,,Yes,12,Cattering,,500000,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk seeking,Agree,Local Breed,1,0,913,Primary education,3.9120231,2.9957323,50000,240000,12.388394,10.819778,No,No,39,1,Yes,No,either,0,No,3,0,No,No,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,6.3279366,2.4849067,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,560,6.3279366,6.3279366,330000,12.706848,50000,5,Strongly agree,1594.8217,1251.4214
6,arisi,Male,Head,4,67,Chagga,HH & HM,Yes,Primary school,25,Yes,2,1600000,0,50000,,,504000,Yes,1.5,Animal keeping,Yes,Yes,0,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,Less wet,More fertile,No,,,,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,2,0,240,0,0,532000,10,,1,8000,70000,0,,No,No,,Artificial insemination,Yes,Regular cleaning,No,Traditional,No,,Yes,Family,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Not likely to adopt,Less Frequent,High,No,No,No,No,No,,,,,,,,,,5,30,420,1200,Neighbour,Buyer,630,152,No,,1050,1050,1300000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,.75,Yes,Yes,0,120000,3,.7,,Yes,Yes,,0,0,0,,,,Yes,12,Tailoring,15000,400000,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk seeking,Agree,Local Breed,1,0,1050,Primary education,4.2046928,3.2188759,82000,532000,13.184399,11.314474,No,No,39,1,Yes,No,either,0,No,4,8000,No,No,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,5.480639,2.3025851,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,240,5.480639,5.480639,430000,12.97154,50000,5,Strongly agree,1462.4224,848.30518
7,arisi,Male,Child,4,25,Chagga,HH + Advice from HM,Yes,Primary school,10,Yes,2,2000000,100000,50000,35000,600000,1008000,Yes,2.5,Animal keeping,Yes,Yes,0,0,Yes,1,Within the village,By foot,5,Owned it already,,,,,No,,,About the same,About the same,Yes,River/stream,,42,Yes,Yes,Yes,Yes,30,5,1,1666,,,,,,,,30,2,1,,,,1,6,560,0,30000,240000,10,2,1,30000,35000,20000,600000,45000,Yes,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Improved,Yes,Define calving season,Yes,Friends,Yes,Demonstrations,Acceptable,Substantial restructuring,Improve profitability,No,No,No,Yes,Would adopt,Frequent,Medium,No,No,No,Yes,Yes,Once per month,Dairy production,Mostly,Yes,Yes,Yes,Yes,0,0,10,30,840,1200,Neighbour,Buyer,360,77,No,,1200,1200,3650000,Three meals,0,Not food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,30,More than 5 years,No,Market,Yes,200,NGO,Yes,,Per month,50000,Yes,1,Yes,Yes,0,500000,7,4,,Yes,Yes,,0,0,0,,,,Yes,12,Small business (shop),3000000,3500000,Slightly constrained,No constraints,Somewhat constrained,Severely constrained,No constraints,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Somewhat constrained,Somewhat constrained,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk seeking,Agree,Local Breed,1,0,1200,Secondary & above education,3.2188759,2.3025851,50000,240000,12.388394,10.819778,No,No,42,3,Yes,Yes,both,600000,Yes,4,30000,Yes,Yes,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,6.3279366,2.3025851,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,560,6.3279366,6.3279366,100000,11.512925,30000,3,Agree,1627.9913,2674.0393
8,samanga,Female,Other relative,5,37,Chagga,HH & HM,Yes,Primary school,10,Yes,2,1700000,0,50000,,,1476000,Yes,2.5,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,Less wet,More fertile,No,,,38,Yes,Yes,Yes,No,,,,,,,,,,,,30,3,2,30,2,1,2,0,800,0,0,342000,20,,1,0,30000,0,,No,No,Traditional,Artificial insemination,Yes,Regular cleaning,No,Recomended,No,,No,,No,,,,,,,,Yes,Would adopt,Never,Medium,No,No,No,No,No,,,,,,,,,,3,30,730,1200,Neighbour,Buyer,365,69,No,,1095,1095,1456000,Three meals,0,Not food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Slightly constrained,Slightly constrained,Slightly constrained,Somewhat constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,Risk averse,Disagree,Local Breed,1,0,1095,Primary education,3.6109178,2.3025851,50000,342000,12.742566,10.819778,No,No,38,1,Yes,No,either,0,No,5,0,No,No,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,6.6846118,2.9957323,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,800,6.6846118,6.6846118,320000,12.676076,50000,5,Strongly agree,1924.1086,1484.4797
9,arisi,Female,Head,3,67,Chagga,HH,Yes,Primary school,25,Yes,1,1000000,160000,30000,,,864000,Yes,.25,Animal keeping,Yes,0,0,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,More fertile,No,,,44,Yes,Yes,Yes,No,,,,,,,,,,,,30,4,1,,,,1,2,560,0,2000,240000,12,,1,72000,15000,0,,15000,No,Traditional,Artificial insemination,Yes,Irregular cleaning,Yes,Traditional,No,,No,,No,,,,,,,,,,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,3,30,720,800,Contractor,Buyer,360,71,No,,1080,1080,950000,Three meals,0,Moderate food insecure,Yes,1,No,Yes,No,No,Written,Yes,No,,Yes,,,,,,Yes,,Yes,,Yes,0,0,0,Membership in Cooperative Unions,Yes,No,No,No,No,No,,Yes,Yes,1,Yes,20,More than 5 years,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Somewhat constrained,No constraints,Somewhat constrained,Slightly constrained,Slightly constrained,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Risk averse,Strongly disagree,Local Breed,1,0,1080,Primary education,4.2046928,3.2188759,30000,240000,12.388394,10.308952,No,No,44,1,Yes,Yes,both,0,Yes,3,72000,Yes,No,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,6.3279366,2.4849067,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,560,6.3279366,6.3279366,160000,11.982929,30000,3,Agree,817.55676,729.88477
10,arisi,Female,Spouse,4,56,Chagga,HH & HM,Yes,Ordinary secondary school,10,Yes,1,1000000,430000,40000,,,1652000,Yes,.5,Animal keeping,Yes,0,0,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,About the same,No,,,46,Yes,Yes,Yes,No,,,,,,,,,20,1,1,30,4,1,,,,2,2,294,0,6000,126000,48,,0,96000,0,0,,20000,No,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,,Yes,Family,No,,,,,,,,,,Less Frequent,Medium,No,Yes,No,No,No,Once per week,Dairy production,Always exactly,,,,,Yes,0,5,30,840,800,Contractor,Buyer,210,61,No,,1050,1050,1250000,Three meals,0,Low food insecure,Yes,3,No,Yes,No,No,Written,Yes,No,,Yes,,,,,,Yes,,Yes,,,,,,Residence,Yes,,,,,,,Yes,No,,Yes,10,Four years,Yes,,No,,,,,,,Yes,.5,Yes,Yes,0,100000,1,.3,,Yes,Yes,,No,No,No,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,Slightly constrained,Severely constrained,No constraints,Risk seeking,Agree,Local Breed,1,0,1050,Secondary & above education,4.0253515,2.3025851,40000,126000,11.744038,10.596635,Yes,Yes,44,3,Yes,Yes,both,0,Yes,4,96000,Yes,No,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,5.6835799,3.871201,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,294,5.6835799,5.6835799,430000,12.97154,40000,4,Strongly agree,1861.8308,2390.9822
